Latitude (°N),Longitude (°E)
46.99394954,11.84469879
46.50594183,10.63005831
46.76996765,10.92173049
47.03931888,12.20500865
45.44665684,7.118691412
45.91245277,7.554197615
45.51753629,7.335806243
46.77422589,10.72666788
46.26231013,9.753674812
46.17361224,10.43329664
45.55134455,6.994402394
45.4782391,7.117579095
45.41382482,7.182908776
46.95968058,11.74087904
46.0750431,9.989628446
46.15026116,10.8617526
46.07255771,9.980909655
46.48981342,10.76207658
46.88817089,12.06288932
46.37127422,10.56730319
45.63391522,7.106597988
46.29059333,9.570903968
46.37698959,9.454904096
46.4884969,10.75526058
45.54715015,7.411862663
45.53327951,7.152402183
45.32500678,7.114859805
45.53345073,7.158819727
45.88058224,7.027837564
46.97902596,11.71256798
46.28990936,11.82372762
45.79093225,6.822079377
46.95289841,11.71619994
46.22795892,10.60920801
47.06236487,12.20481683
46.48459025,10.73930115
46.29607685,8.134800481
46.5614186,10.64235678
47.03344038,11.95092843
45.71610033,6.824357874
46.39249786,10.20993675
45.42905396,7.146814713
46.54867069,10.85883528
46.50531817,9.363884663
46.51160066,12.20685753
45.91555666,7.568034252
46.22872517,10.68722976
45.56713249,7.078330342
46.42385761,12.13404294
47.03456183,11.94089198
46.34441421,10.44173937
46.37516881,10.60568014
45.93896864,7.706029906
46.8380853,10.71266291
46.96827097,11.75327489
46.93328753,12.16364367
46.24309196,10.69528863
46.98722712,11.78443234
46.9057839,12.13951685
45.73704728,6.81861871
45.599042,7.248620272
45.83724195,6.919767525
46.26747762,9.733666711
46.76522239,11.01635222
45.52157593,7.364481918
46.51649074,10.63771306
46.40246747,10.55552805
46.58023945,12.20436541
46.39176219,10.42751262
46.74717906,11.02937982
46.38521296,10.19552094
46.10682773,10.60150971
46.72657588,10.99071002
45.40014017,7.186349121
46.15507393,10.86399031
46.36864439,10.55849426
46.07888615,10.00297758
45.33196607,7.155331403
46.50910961,12.22527636
45.68076357,7.390847625
45.54915881,7.002686715
45.96849507,7.647329127
46.53433498,11.80856066
46.74412382,10.73767634
45.85813664,6.99457674
46.72714735,10.72399308
46.23049516,10.63086415
46.30587179,9.725523434
45.66182854,6.919811103
45.70224267,6.842759008
46.0669887,9.976535578
46.49355064,10.42790633
45.56747984,7.281561124
46.11250808,10.58902042
46.40253608,8.361974102
45.92962362,7.581404592
45.4885144,7.245473699
46.76744227,10.73181477
45.48489027,7.227010729
46.58365632,12.21163523
45.37933033,7.171100111
46.97509255,11.26420226
45.66398756,6.909809042
45.54413142,7.354363071
46.54364086,10.65416458
46.3099414,11.845506
46.49275377,10.62541081
46.44175558,10.13695656
46.16081494,10.87282175
45.65364446,6.973952737
46.51109908,12.22091974
46.47602989,10.76514653
45.92972317,7.876128009
46.76838551,10.67540957
45.50024937,7.267896134
46.49389326,10.41649443
45.37166378,7.16448903
45.39266391,7.181614301
46.45820112,12.26470836
46.29094952,9.723181956
46.50474387,12.29350554
46.83092386,11.106207
47.05703664,12.21283917
46.43654857,11.84818853
46.73243166,10.98505656
45.87956392,7.535525481
46.51111445,10.45440482
45.91177506,7.058390206
45.78901291,6.835341104
46.7385484,10.99586421
46.29204682,9.606539377
45.82602544,7.882489537
46.21334208,10.67418097
46.96896441,11.72500978
46.38537328,9.46252638
46.2127249,10.68160673
45.94051905,7.931532177
46.40184563,10.56331383
46.24204424,10.68088434
45.92956053,7.475256961
46.22742893,10.61610427
45.52537431,7.005248189
45.5261026,7.058874524
45.51761591,7.044030636
45.82332394,6.813618317
46.1611657,10.42223716
45.45051635,7.107890202
46.28349203,9.766867153
45.62465674,7.479774436
46.54551227,10.8620678
45.90981184,7.588431517
46.2845263,9.565475205
46.93280229,11.19521419
46.12490112,10.58512672
46.74181108,10.74196389
46.97545659,11.70278819
46.08858914,10.04109118
45.88528877,7.008270409
46.40924374,11.80635173
45.88582183,7.548438546
45.57786523,7.082055495
46.9113843,11.18272464
46.40016293,10.63150778
46.35017397,9.918427841
46.37962556,9.460589575
45.8721917,7.350314623
46.52317833,10.53760386
46.51087032,12.33918743
46.3865856,10.20398964
45.84276617,6.941395199
46.19858506,10.51065382
46.05394423,10.08682951
46.44027657,13.4382989
46.89930936,12.08319952
45.86232334,6.997153645
46.3890537,10.16815676
46.7463182,10.73217077
47.00841292,11.62279708
45.89375303,7.376787156
46.49534494,9.286048467
46.48881853,10.62392105
45.53983188,7.058122355
47.02019301,12.13099643
46.49438042,10.42245048
46.4047141,8.356096928
45.96663548,7.635352026
45.14510339,6.899673814
